"Id","Name","Description"
"963797fb-eb3b-4cde-8ce3-5878b3f32a3f","Dynamics 365 Business Central Administrator","Access and perform all administrative tasks on Dynamics 365 Business Central environments."
"3f1acade-1e04-4fbc-9b69-f0302cd84aef","Edge Administrator","Manage all aspects of Microsoft Edge."
"b6a27b2b-f905-4b2e-81b5-0d90e0ef1fdb","Entra Backup Administrator","Manage all aspects of Microsoft Entra Backup, such as create recovery jobs and manage backup snapshots."
"f42252d9-5400-4d7b-b9ef-cc582dbb8577","Entra Backup Reader","Read all aspects of Microsoft Entra Backup, such as list all preview jobs, recovery jobs, backup snapshots, and create preview jobs."
"29232cdf-9323-42fd-ade2-1d097af3e4de","Exchange Administrator","Can manage all aspects of the Exchange product."
"49eb8f75-97e9-4e37-9b2b-6c3ebfcffa31","Exchange Backup Administrator","Back up and restore content (including granular restore) for Exchange in Microsoft 365 Backup"
"31392ffb-586c-42d1-9346-e59415a2cc4e","Exchange Recipient Administrator","Can create or update Exchange Online recipients within the Exchange Online organization."
"dd13091a-6207-4fc0-82ba-3641e056ab95","Extended Directory User Administrator","Manage all aspects of external user profiles in the extended directory for Teams."
"6e591065-9bad-43ed-90f3-e9424366d2f0","External ID User Flow Administrator","Can create and manage all aspects of user flows."
"0f971eea-41eb-4569-a71e-57bb8a3eff1e","External ID User Flow Attribute Administrator","Can create and manage the attribute schema available to all user flows."
"be2f45a1-457d-42af-a067-6ec1fa63bc45","External Identity Provider Administrator","Can configure identity providers for use in direct federation."
"a9ea8996-122f-4c74-9520-8edcd192826c","Fabric Administrator","Manages all aspects of Microsoft Fabric."
"62e90394-69f5-4237-9190-012177145e10","Global Administrator","Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities."
"f2ef992c-3afb-46b9-b7cf-a126ee74c451","Global Reader","Can read everything that a Global Administrator can, but not update anything."
"ac434307-12b9-4fa1-a708-88bf58caabc1","Global Secure Access Administrator","Create and manage all aspects of Global Secure Internet Access and Microsoft Global Secure Private Access, including managing access to public and private endpoints."
"843318fb-79a6-4168-9e6f-aa9a07481cc4","Global Secure Access Log Reader","Provides designated security personnel with read-only access to network traffic logs in Microsoft Entra Internet Access and Microsoft Entra Private Access for secure and detailed analysis."
"fdd7a751-b60b-444a-984c-02652fe8fa1c","Groups Administrator","Members of this role can create/manage groups, create/manage groups settings like naming and expiration policies, and view groups activity and audit reports."
"95e79109-95c0-4d8e-aee3-d01accf2d47b","Guest Inviter","Can invite guest users independent of the 'members can invite guests' setting."
"10dae51f-b6af-4016-8d66-8c2a99b929b3","Guest User","Default role for guest users. Can read a limited set of directory information."
"729827e3-9c14-49f7-bb1b-9608f156bbb8","Helpdesk Administrator","Can reset passwords for non-administrators and Helpdesk Administrators."
"8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2","Hybrid Identity Administrator","Can manage Active Directory to Microsoft Entra cloud provisioning, Microsoft Entra Connect, and federation settings."
"45d8d3c5-c802-45c6-b32a-1d70b5e1e86e","Identity Governance Administrator","Manage access using Microsoft Entra ID for identity governance scenarios."
"eb1f4a8d-243a-41f0-9fbd-c7cdf6c5ef7c","Insights Administrator","Has administrative access in the Microsoft 365 Insights app."
"25df335f-86eb-4119-b717-0ff02de207e9","Insights Analyst","Access the analytical capabilities in Microsoft Viva Insights and run custom queries."
"31e939ad-9672-4796-9c2e-873181342d2d","Insights Business Leader","Can view and share dashboards and insights via the M365 Insights app."
"3a2c62db-5318-420d-8d74-23affee5d9d5","Intune Administrator","Can manage all aspects of the Intune product."
"2ea5ce4c-b2d8-4668-bd81-3680bd2d227a","IoT Device Administrator","Provision new IoT devices, manage their lifecycle, configure certificates, and manage device templates."
"74ef975b-6605-40af-a5d2-b9539d836353","Kaizala Administrator","Can manage settings for Microsoft Kaizala."
"b5a8dcf3-09d5-43a9-a639-8e29ef291470","Knowledge Administrator","Can configure knowledge, learning, and other intelligent features."
"744ec460-397e-42ad-a462-8b3f9747a02c","Knowledge Manager","Has access to topic management dashboard and can manage content."
"4d6ac14f-3453-41d0-bef9-a3e0c569773a","License Administrator","Can manage product licenses on users and groups."
"59d46f88-662b-457b-bceb-5c3809e5908f","Lifecycle Workflows Administrator","Create and manage all aspects of workflows and tasks associated with Lifecycle Workflows in Microsoft Entra ID."
"ac16e43d-7b2d-40e0-ac05-243ff356ab5b","Message Center Privacy Reader","Can read security messages and updates in Office 365 Message Center only."
"790c1fb9-7f7d-4f88-86a1-ef1f95c05c1b","Message Center Reader","Can read messages and updates for their organization in Office 365 Message Center only."
"1707125e-0aa2-4d4d-8655-a7c786c76a25","Microsoft 365 Backup Administrator","Back up and restore content across supported services (SharePoint, OneDrive, and Exchange Online) in Microsoft 365 Backup."
"8c8b803f-96e1-4129-9349-20738d9f9652","Microsoft 365 Migration Administrator","Perform all migration functionality to migrate content to Microsoft 365 using Migration Manager."
"ee67aa9c-e510-4759-b906-227085a7fd4d","Microsoft Graph Data Connect Administrator","Manage aspects of Microsoft Graph Data Connect service in a tenant."
"1501b917-7653-4ff9-a4b5-203eaf33784f","Microsoft Hardware Warranty Administrator","Create and manage all aspects warranty claims and entitlements for Microsoft manufactured hardware, like Surface and HoloLens."
"281fe777-fb20-4fbb-b7a3-ccebce5b0d96","Microsoft Hardware Warranty Specialist","Create and read warranty claims for Microsoft manufactured hardware, like Surface and HoloLens."
"d37c8bed-0711-4417-ba38-b4abe66ce4c2","Network Administrator","Can manage network locations and review enterprise network design insights for Microsoft 365 Software as a Service applications."
"2b745bdf-0803-4d80-aa65-822c4493daac","Office Apps Administrator","Can manage Office apps cloud services, including policy and settings management, and manage the ability to select, unselect and publish 'what's new' feature content to end-user's devices."
"a92aed5d-d78a-4d16-b381-09adb37eb3b0","On Premises Directory Sync Account","Only used by Microsoft Entra Connect Sync Account."
"92ed04bf-c94a-4b82-9729-b799a7a4c178","Organizational Branding Administrator","Manage all aspects of organizational branding in a tenant."
"9d70768a-0cbc-4b4c-aea3-2e124b2477f4","Organizational Data Source Administrator","Set up and manage the ingestion of organizational data into Microsoft 365."
"e48398e2-f4bb-4074-8f31-4586725e205b","Organizational Messages Approver","Can review and approve Organizational Messages before they are activated for delivery to end users."
"507f53e4-4e52-4077-abd3-d2e1558b6ea2","Organizational Messages Writer","Write, publish, manage, and review the organizational messages for end-users through Microsoft product surfaces."
"4ba39ca4-527c-499a-b93d-d9b492c50246","Partner Tier1 Support","Do not use - not intended for general use."
"e00e864a-17c5-4a4b-9c06-f5b95a8d5bd8","Partner Tier2 Support","Do not use - not intended for general use."
"966707d0-3269-4727-9be2-8c3a10f19b9d","Password Administrator","Can reset passwords for non-administrators and Password Administrators."
"024906de-61e5-49c8-8572-40335f1e0e10","People Administrator","Manage profile photos of users and people settings for all users in the organization."
"af78dc32-cf4d-46f9-ba4e-4428526346b5","Permissions Management Administrator","Manage all aspects of Entra Permissions Management."
"78b0ccd1-afc2-4f92-9116-b41aedd09592","Places Administrator","Manage all aspects of the Microsoft Places service."
"11648597-926c-4cf3-9c36-bcebb0ba8dcc","Power Platform Administrator","Can create and manage all aspects of Microsoft Dynamics 365, PowerApps and Microsoft Flow."
"644ef478-e28f-4e28-b9dc-3fdde9aa0b1f","Printer Administrator","Can manage all aspects of printers and printer connectors."
"e8cef6f1-e4bd-4ea8-bc07-4b8d950f4477","Printer Technician","Can manage all aspects of printers and printer connectors."
"7be44c8a-adaf-4e2a-84d6-ab2649e08a13","Privileged Authentication Administrator","Allowed to view, set and reset authentication method information for any user (admin or non-admin)."
"e8611ab8-c189-46e8-94e1-60213ab1f814","Privileged Role Administrator","Can manage role assignments in Microsoft Entra ID, and all aspects of Privileged Identity Management."
"3f04f91a-4ad7-4bd3-bcfa-49882ea1a88a","Purview Workload Content Administrator","Manage or purge data from Microsoft 365 when accessing from the Microsoft Purview portal."
"e07494ad-1654-4dd2-922e-6f81a71bf00f","Purview Workload Content Reader","Read data from Microsoft 365 when accessing from the Microsoft Purview portal."
"02d5655b-c1cf-4e5f-98da-5fb919085bf6","Purview Workload Content Writer","Read and edit data from Microsoft 365 when accessing from the Microsoft Purview portal."
"4a5d8f65-41da-4de4-8968-e035b65339cf","Reports Reader","Can read sign-in and audit reports."
"2af84b1e-32c8-42b7-82bc-daa82404023b","Restricted Guest User","Default role for guest users with restricted access. Can read a limited set of directory information."
"0964bb5e-9bdb-4d7b-ac29-58e794862a40","Search Administrator","Can create and manage all aspects of Microsoft Search settings."
"8835291a-918c-4fd7-a9ce-faa49f0cf7d9","Search Editor","Can create and manage the editorial content such as bookmarks, Q and As, locations, floorplan."
"194ae4cb-b126-40b2-bd5b-6091b380977d","Security Administrator","Security Administrator allows ability to read and manage security configuration and reports."
"5f2222b1-57c3-48ba-8ad5-d4759f1fde6f","Security Operator","Creates and manages security events."
"5d6b6bb7-de71-4623-b4af-96380a352509","Security Reader","Can read security information and reports in Microsoft Entra ID and Office 365."
"f023fd81-a637-4b56-95fd-791ac0226033","Service Support Administrator","Can read service health information and manage support tickets."
"f28a1f50-f6e7-4571-818b-6a12f2af6b6c","SharePoint Administrator","Can manage all aspects of the SharePoint service."
"99009c4a-3b3f-4957-82a9-9d35e12db77e","SharePoint Advanced Management Administrator","Manage all aspects of SharePoint Advanced Management."
"9d3e04ba-3ee4-4d1b-a3a7-9aef423a09be","SharePoint Backup Administrator","Back up and restore content (including granular restore) for SharePoint and OneDrive in Microsoft 365 Backup"
"1a7d78b6-429f-476b-b8eb-35fb715fffd4","SharePoint Embedded Administrator","Manage all aspects of SharePoint Embedded containers."
"75941009-915a-4869-abe7-691bff18279e","Skype for Business Administrator","Can manage all aspects of the Skype for Business product."
"69091246-20e8-4a56-aa4d-066075b2a7a8","Teams Administrator","Can manage the Microsoft Teams service."
"baf37b3a-610e-45da-9e62-d9d1e5e8914b","Teams Communications Administrator","Can manage calling and meetings features within the Microsoft Teams service."
"f70938a0-fc10-4177-9e90-2178f8765737","Teams Communications Support Engineer","Can troubleshoot communications issues within Teams using advanced tools."
"fcf91098-03e3-41a9-b5ba-6f0ec8188a12","Teams Communications Support Specialist","Can troubleshoot communications issues within Teams using basic tools."
"3d762c5a-1b6c-493f-843e-55a3b42923d4","Teams Devices Administrator","Can perform management related tasks on Teams certified devices."
"2fe872fb-daa8-4afc-8f6c-53c4565cfef4","Teams External Collaboration Administrator","Mmanage external domain settings and policies that govern access to chats, meetings, and calls in Microsoft Teams."
"1076ac91-f3d9-41a7-a339-dcdf5f480acc","Teams Reader","Read everything in the Teams admin center, but not update anything."
"aa38014f-0993-46e9-9b45-30501a20909d","Teams Telephony Administrator","Manage voice and telephony features and troubleshoot communication issues within the Microsoft Teams service."
"112ca1a2-15ad-4102-995e-45b0bc479a6a","Tenant Creator","Create new Microsoft Entra or Azure AD B2C tenants."
"1981f584-96e9-4a6f-95b0-f522373f8fae","Tenant Governance Administrator","Manage all capabilities in the Microsoft Entra Tenant Governance service."
"e0a4caa6-fe82-443f-b92f-d87341d17b2e","Tenant Governance Reader","Can read all tenant governance data."
"b8e31d83-1534-480f-9b10-0338ded51b7e","Tenant Governance Relationship Administrator","Can initiate governance relationships and terminate them."
"124577f8-48ed-456a-839f-13b419002e33","Tenant Governance Relationship Reader","Can read tenant governance relationships and relevant objects."
"75934031-6c7e-415a-99d7-48dbd49e875e","Usage Summary Reports Reader","Can see only tenant level aggregates in Microsoft 365 Usage Analytics and Productivity Score."
"a0b1b346-4d3e-4e8b-98f8-753987be4970","User","Default role for member users. Can read all and write a limited set of directory information."
"fe930be7-5e62-47db-91af-98c3a49a38b1","User Administrator","Can manage all aspects of users and groups, including resetting passwords for limited admins."
"27460883-1df1-4691-b032-3b79643e5e63","User Experience Success Manager","View product feedback, survey results, and reports to find training and communication opportunities."
"e300d9e7-4a2b-4295-9eff-f1c78b36cc98","Virtual Visits Administrator","Manage and share Virtual Visits information and metrics from admin centers or the Virtual Visits app."
"0ec3f692-38d6-4d14-9e69-0377ca7797ad","Viva Glint Tenant Administrator","Manage and configure Microsoft Viva Glint settings in the Microsoft 365 admin center."
"92b086b3-e367-4ef2-b869-1de128fb986e","Viva Goals Administrator","Manage and configure all aspects of Microsoft Viva Goals."
"87761b17-1ed2-4af3-9acd-92a150038160","Viva Pulse Administrator","Can manage all settings for Microsoft Viva Pulse app"
"11451d60-acb2-45eb-a7d6-43d0f0125c13","Windows 365 Administrator","Can provision and manage all aspects of Cloud PCs."
"32696413-001a-46ae-978c-ce0f6b3620d2","Windows Update Deployment Administrator","Can create and manage all aspects of Windows Update deployments through the Windows Update for Business deployment service."
"c34f683f-4d5a-4403-affd-6615e00e3a7f","Workplace Device Join","Workplace Device Join"
"810a2642-a034-447f-a5e8-41beaa378541","Yammer Administrator","Manage all aspects of Yammer."
